Ticker,Description,Last,Volume,Market Capitalization,Sector,Industry,Exchange
AAG,AFTERMATH SILVER LTD,0.76,650838,105977000,Non-Energy Minerals,Other Metals/Minerals,TSXV
AAV,ADVANTAGE OIL & GAS LTD.,3.2,1183668,575586000,Energy Minerals,Oil & Gas Production,TSX
ABCT,ABC TECHNOLOGIES HOLDINGS INC,9.73,130022,512093000,Producer Manufacturing,Miscellaneous Manufacturing,TSX
ABRA,ABRASILVER RESOURCE CORP,0.53,436883,240219000,Energy Minerals,Oil & Gas Production,TSXV
ABST,ABSOLUTE SOFTWARE CORPORATION,16.88,167830,827169000,Technology Services,Packaged Software,TSX
ACB,AURORA CANNABIS INC,10.01,1633427,1999600000,Process Industries,Agricultural Commodities/Milling,TSX
ACDC,EXTREME VEHICLE BA,0.295,5376268,98800700,Technology Services,Data Processing Services,CSE
ACO.X,"ATCO LTD., CL.I, NV",42.2,199173,4909360000,Utilities,Electric Utilities,TSX
ACQ,AUTOCANADA INC,40.99,623108,881191000,Retail Trade,Specialty Stores,TSX
ACST,ACASTI PHARMA INC,0.59,155061,118350004.275,Health Technology,Pharmaceuticals: Other,TSXV
AD.UN,ALARIS EQUITY PARTNERS INCOME TRUST,15.79,158375,711757000,Miscellaneous,Investment Trusts/Mutual Funds,TSX
AEX,AEX GOLD INC,0.51,104320,92091500,Non-Energy Minerals,Precious Metals,TSXV
AEZS,AETERNA ZENTARIS INC,1.22,214734,145385000,Health Technology,Biotechnology,TSX
AFM,ALPHAMIN RESOURCES CORP.,0.57,408284,661007000,Non-Energy Minerals,Other Metals/Minerals,TSXV
AGC,AMARILLO GOLD CORP.,0.265,302703,52636400,Non-Energy Minerals,Precious Metals,TSXV
AGI,ALAMOS GOLD INC CLS A,10.38,410564,4171290000,Non-Energy Minerals,Precious Metals,TSX
AH,ALEAFIA HEALTH INC,0.57,449540,191663000,Process Industries,Agricultural Commodities/Milling,TSX
AII,ALMONTY INDUSTRIES INC,1,107090,195171000,Non-Energy Minerals,Other Metals/Minerals,TSX
AIM,AIMIA INC,5.11,103902,476314000,Commercial Services,Miscellaneous Commercial Services,TSX
AIR,CLEAN AIR METALS INC,0.385,125505,55898800,Health Technology,Pharmaceuticals: Other,TSXV
ALA,ALTAGAS LTD.,21.17,584898,5847830000,Utilities,Gas Distributors,TSX
ALS,ALTIUS MINERALS CORPORATION,15.98,143884,659910000,Non-Energy Minerals,Other Metals/Minerals,TSX
AMK,AMERICAN CREEK RESOURCES LTD.,0.28,315231,111269000,Non-Energy Minerals,Precious Metals,TSXV
